Cond URL, Turb URL, discharge URL,Stream,start date,end date,discharge count,NO3 count,fDOM count,Specific Conductance count,Turbidity count,pH count,DO count,Beginning,End,,,,,,,
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-06-18/enddate=2017-06-20,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-06-18/enddate=2017-06-20,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-06-18/enddate=2017-06-20/,Quebrada Sonadora,6/18/2017 17:00,6/20/2017 17:00,191,192,192,192,192,192,191,5/1/2017 1:59,5/1/2017 10:01,,,,,,11,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-07-04/enddate=2017-07-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-07-04/enddate=2017-07-06,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-07-04/enddate=2017-07-06/,Quebrada Sonadora,7/4/2017 2:00,7/6/2017 2:00,191,192,192,192,192,192,191,5/1/2017 9:59,5/1/2017 15:01,,,,,,12,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-07-12/enddate=2017-07-14,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-07-12/enddate=2017-07-14,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-07-12/enddate=2017-07-14/,Quebrada Sonadora,7/12/2017 18:30,7/14/2017 18:30,191,43,43,43,43,43,191,5/1/2017 14:59,5/2/2017 12:01,,,,,,13,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-08-16/enddate=2017-08-18,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-08-16/enddate=2017-08-18,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-08-16/enddate=2017-08-18/,Quebrada Sonadora,8/16/2017 2:00,8/18/2017 2:00,191,192,192,192,192,192,191,5/31/2017 13:29,6/1/2017 8:31,,,,,,14,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-08-19/enddate=2017-08-21,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-08-19/enddate=2017-08-21,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-08-19/enddate=2017-08-21/,Quebrada Sonadora,8/19/2017 13:00,8/21/2017 13:00,191,192,192,192,192,192,191,6/19/2017 15:44,6/20/2017 8:46,,,,,,15,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-08-26/enddate=2017-08-28,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-08-26/enddate=2017-08-28,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-08-26/enddate=2017-08-28/,Quebrada Sonadora,8/26/2017 16:45,8/28/2017 16:45,191,192,192,192,192,192,191,7/5/2017 0:59,7/6/2017 0:01,,,,,,16,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-09-05/enddate=2017-09-07,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-09-05/enddate=2017-09-07,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-09-05/enddate=2017-09-07/,Quebrada Sonadora,9/5/2017 15:45,9/7/2017 15:45,191,192,192,192,192,192,191,7/13/2017 17:29,7/14/2017 11:16,,,,,,17,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-09-06/enddate=2017-09-08,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-09-06/enddate=2017-09-08,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-09-06/enddate=2017-09-08/,Quebrada Sonadora,9/6/2017 12:30,9/8/2017 12:30,191,192,192,192,192,192,191,8/17/2017 1:14,8/17/2017 6:01,,,,,,18,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-09-06/enddate=2017-09-08,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-09-06/enddate=2017-09-08,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-09-06/enddate=2017-09-08/,Quebrada Sonadora,9/6/2017 21:00,9/8/2017 21:00,191,192,192,192,192,192,191,8/17/2017 5:59,8/18/2017 0:01,,,,,,19,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-09-10/enddate=2017-09-12,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-09-10/enddate=2017-09-12,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-09-10/enddate=2017-09-12/,Quebrada Sonadora,9/10/2017 14:30,9/12/2017 14:30,191,192,192,192,192,192,191,8/20/2017 12:14,8/20/2017 22:31,,,,,,20,Pre-Maria
